Holiday,Japan,China,Northeast Asia,Southeast Asia,Americas,Europe,Oceania,Middle East,Others,Total
5,246385,232256,137561,329828,99374,58678,127814,17695,7454,1257045
3,228384,230448,132318,330115,109704,58501,131712,20046,8537,1249765
3,249689,255899,146336,352489,106181,58814,129800,20780,9189,1329177
2,256661,260388,147845,347486,105634,53531,125664,18911,8856,1324976
2,259177,254209,149126,356432,98911,46182,117538,18593,9841,1310009
2,241608,235095,148660,370890,94608,47123,105520,17084,10240,1270828
2,249499,236114,151229,368991,94928,45382,103867,16764,8545,1275319
2,259026,229720,153763,377388,97991,47079,99924,17599,10002,1292492
2,263331,226476,145064,385324,89694,47630,89889,15097,9786,1272291
2,264065,223996,140393,397948,93196,49756,87804,14363,9809,1281330
2,248125,208778,135546,390780,87227,51553,80915,13765,10298,1226987
2,266601,213614,146273,409001,92881,54821,85578,14233,10295,1293297
2,286585,238033,150109,433483,106936,58249,101184,15602,10722,1400903
3,289253,227454,152472,427219,99804,59369,95393,13518,8684,1373166
